,0
0,Breast Neoplasms
1,Ovarian Neoplasms
2,"Carcinoma, Non-Small-Cell Lung"
3,Prostatic Neoplasms
4,Gastrointestinal Neoplasms
5,Pre-Eclampsia
6,Nasopharyngeal Neoplasms
7,"Carcinoma, Hepatocellular"
8,Pancreatic Neoplasms
9,"Carcinoma, Squamous Cell"
10,Colonic Neoplasms
11,Parkinson Disease
12,Multiple Myeloma
13,Colorectal Neoplasms
14,"Carcinoma, Renal Cell"
15,Osteosarcoma
16,Liver Cirrhosis
17,"Abortion, Habitual"
18,Lung Neoplasms
19,"Fatty Liver, Alcoholic"
20,"Lupus Erythematosus, Systemic"
21,Melanoma
22,Liver Neoplasms
23,"Diabetes Mellitus, Type 2"
24,Glioblastoma
25,Barrett Esophagus
26,Obesity
27,"Angina, Unstable"
28,Medulloblastoma
29,Stomach Neoplasms
30,Laryngeal Neoplasms
31,Leukemia
32,"Muscular Dystrophy, Facioscapulohumeral"
33,Endometrial Neoplasms
34,"Leukemia, Myeloid"
35,Chemical and Drug Induced Liver Injury
36,"Lung Diseases, Interstitial"
37,"Leukemia, Lymphocytic, Chronic, B-Cell"
38,Pituitary Neoplasms
39,Myopia
40,"Arrhythmias, Cardiac"
41,Hepatitis C
42,Glioma
43,Hepatitis B
44,Papillomavirus Infections
45,Thyroid Neoplasms
46,Gout
47,Hematologic Neoplasms
48,Heart Failure
49,Lymphoma
50,"Leukemia, Biphenotypic, Acute"
51,Irritable Bowel Syndrome
52,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
53,Uterine Cervical Neoplasms
54,Inflammation
55,"Leukemia, Myeloid, Chronic-Phase"
56,Myocardial Infarction
57,Multiple Sclerosis
58,Sepsis
59,Urinary Bladder Neoplasms
60,"Leukemia, Myeloid, Acute"
61,Cardiomegaly
62,Endometriosis
63,Myocardial Ischemia
64,Intracranial Aneurysm
65,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
66,Musculoskeletal Abnormalities
67,"Sarcoma, Kaposi"
68,Head and Neck Neoplasms
69,Mouth Neoplasms
70,Chondrodysplasia Punctata
71,Burkitt Lymphoma
72,Esophageal Neoplasms
73,"Muscular Dystrophy, Duchenne"
74,Adenocarcinoma
75,Fibrosarcoma
76,"Pregnancy, Ectopic"
77,Neuroblastoma
78,"Leukemia-Lymphoma, Adult T-Cell"
79,Pulmonary Embolism
80,"Pulmonary Disease, Chronic Obstructive"
81,Arthritis
82,Cerebral Infarction
83,Coronary Artery Disease
84,Mesothelioma
85,Cholangiocarcinoma
86,"Neoplasms, Squamous Cell"
87,Inflammatory Bowel Diseases
88,Precursor Cell Lymphoblastic Leukemia-Lymphoma
89,"Cardiomyopathy, Dilated"
90,"Arthritis, Psoriatic"
91,"Scleroderma, Systemic"
92,Hyperlipidemias
93,Testicular Neoplasms
94,"Lymphoma, B-Cell"
95,"Hepatitis B, Chronic"
96,Diabetic Nephropathies
97,"Supranuclear Palsy, Progressive"
98,Cerebral Hemorrhage
99,Kidney Neoplasms
100,Rhabdomyosarcoma
101,Osteoporosis
102,Hearing Loss
103,"Cardiomyopathy, Hypertrophic"
104,"Hypoxia-Ischemia, Brain"
105,Myotonic Dystrophy
106,Psoriasis
107,Tongue Neoplasms
108,Kidney Diseases
109,"Glomerulonephritis, IGA"
110,"Mastocytosis, Systemic"
111,Hemangiosarcoma
112,Myocardial Reperfusion Injury
113,Non-alcoholic Fatty Liver Disease
114,"Tuberculosis, Pulmonary"
115,Small Cell Lung Carcinoma
116,Hypertension
117,Crohn Disease
118,Polycystic Kidney Diseases
119,Marek Disease
120,Sarcoma
121,Aortic Valve Stenosis
122,Fatty Liver
123,Myelodysplastic Syndromes
124,Adrenocortical Carcinoma
125,"Heart Defects, Congenital"
126,Moyamoya Disease
127,"Infertility, Male"
128,"Arthritis, Rheumatoid"
129,"Leukemia, B-Cell"
130,Acute Kidney Injury
131,Eosinophilic Esophagitis
132,"Scleroderma, Localized"
133,Hodgkin Disease
134,Atherosclerosis
135,Leiomyoma
136,Carcinoma
137,Liver Diseases
138,Glomerulonephritis
139,"Kidney Failure, Chronic"
140,"Lymphoma, Mantle-Cell"
141,Hypertrophy
142,"Carcinoma, Embryonal"
143,"Hepatitis, Chronic"
144,Lung Diseases
145,Meningioma
146,"Carcinoma, Small Cell"
147,"Carcinoma, Endometrioid"
148,Atrophy
149,Asthma
150,Vascular Diseases
